ticker,price,exchange,currency
KEY,30.11,TSE,CAD
INSP,308.99,NYSE,USA
DBX,25.75,NASDAQ,USA
FFIV,145.66,NASDAQ,USA
DVA,97.68,NYSE,USA
KBR,65.29,NYSE,USA
DCP,41.69,NYSE,USA
MORN,201.77,NASDAQ,USA
CLH,159.54,NYSE,USA
LEA,141.10,NYSE,USA
KNSL,362.60,NYSE,USA
APP,23.35,NASDAQ,USA
CASY,221.00,NASDAQ,USA
WHR,144.66,NYSE,USA
ALGM,41.18,NASDAQ,USA
SKX,51.26,NYSE,USA
IRDM,61.48,NASDAQ,USA
NNN,41.77,NYSE,USA
VFC,19.13,NYSE,USA
GPK,24.41,NYSE,USA
BERY,63.22,NYSE,USA
DCI,61.49,NYSE,USA
OGE,36.58,NYSE,USA
ITT,88.44,NYSE,USA
AGL,17.07,NYSE,USA
AXTA,32.02,NYSE,USA
FR,7.04,TSE,CAD
VOYA,71.29,NYSE,USA
WWD,117.20,NASDAQ,USA
LFUS,278.96,NASDAQ,USA
BYD,247.82,TSE,CAD
NTNX,28.39,NASDAQ,USA
MEDP,220.44,NASDAQ,USA
PII,119.17,NYSE,USA
EDR,3.68,TSE,CAD
FCN,192.66,NYSE,USA
GNTX,27.76,NASDAQ,USA
AR,0.56,TSE,CAD
GTLS,155.23,NYSE,USA
WOLF,50.51,NYSE,USA
MSA,165.89,NYSE,USA
ALK,49.58,NYSE,USA
CACC,493.31,NASDAQ,USA
MUSA,289.56,NYSE,USA
ITCI,66.43,NASDAQ,USA
NYT,37.68,NYSE,USA
DUOL,142.30,NASDAQ,USA
COKE,664.00,NASDAQ,USA
HXL,73.63,NYSE,USA
EXP,174.57,NYSE,USA
RBC,208.14,NYSE,USA
CBSH,47.64,NASDAQ,USA
VVV,36.35,NYSE,USA
PLUG,9.88,NASDAQ,USA
MUR,38.32,NYSE,USA
RLI,131.81,NYSE,USA
SIGI,98.19,NASDAQ,USA
GMED,57.74,NYSE,USA
CWEN,29.76,NYSE,USA
NXST,162.63,NASDAQ,USA
SAIC,109.04,NYSE,USA
GWRE,69.03,NYSE,USA
DXC,27.10,NYSE,USA
BOKF,84.30,NASDAQ,USA
FIX,164.35,NYSE,USA
EEFT,112.43,NASDAQ,USA
WING,191.74,NASDAQ,USA
PR,8.02,TSE,CAD
CMA,42.10,NYSE,USA
HGTY,9.50,NYSE,USA
RHP,92.89,NYSE,USA
NEP,61.49,NYSE,USA
MPW,8.93,NYSE,USA
OSK,3.24,TSE,CAD
DDS,325.29,NYSE,USA
HQY,62.90,NASDAQ,USA
OGN,20.79,NYSE,USA
FOUR,44.05,TSE,CAD
INFA,17.80,NYSE,USA
CIVI,65.58,NYSE,USA
TDC,51.40,NYSE,USA
FLO,24.47,NYSE,USA
TMHC,47.43,NYSE,USA
SLGN,46.24,NYSE,USA
CC,33.95,NYSE,USA
ORA,9.69,TSE,CAD
ELAN,9.99,NYSE,USA
PCVX,53.01,NASDAQ,USA
FRSH,16.31,NASDAQ,USA
SLAB,151.26,NASDAQ,USA
VNT,31.27,NYSE,USA
VSAT,40.16,NASDAQ,USA
ABG,226.48,NYSE,USA
TENB,40.95,NASDAQ,USA
MMSI,82.64,NASDAQ,USA
QLYS,125.70,NASDAQ,USA
WEN,22.36,NASDAQ,USA
HOMB,22.76,NYSE,USA
NFG,51.40,NYSE,USA
FLNC,25.98,NASDAQ,USA
CWAN,15.58,NYSE,USA
POR,47.89,NYSE,USA
ESI,2.03,TSE,CAD
HUN,11.70,TSE,CAD
CR,5.22,TSE,CAD
SNV,30.62,NYSE,USA
RITM,9.33,NYSE,USA
ICUI,182.25,NASDAQ,USA
CNXC,81.99,NASDAQ,USA
BPOP,60.70,NASDAQ,USA
PNFP,56.41,NASDAQ,USA
BCPC,133.64,NASDAQ,USA
AVT,47.60,NASDAQ,USA
GH,36.56,NASDAQ,USA
GOCO,19.80,NASDAQ,USA
DNLI,31.11,NASDAQ,USA
FYBR,16.47,NASDAQ,USA
SQSP,30.45,NYSE,USA
FFIN,28.68,NASDAQ,USA
SRCL,45.06,NASDAQ,USA
UBSI,30.52,NASDAQ,USA
CVNA,24.17,NYSE,USA
PYCR,23.28,NASDAQ,USA
SHLS,24.97,NASDAQ,USA
VLY,7.97,NASDAQ,USA
MDU,20.38,NYSE,USA
BKH,61.34,NYSE,USA
AMC,3.20,TSE,CAD
AZEK,27.61,NYSE,USA
ACT,24.98,NASDAQ,USA
MSTR,331.31,NASDAQ,USA
RUN,18.65,NASDAQ,USA
AEIS,106.35,NASDAQ,USA
BDC,94.53,NYSE,USA
CXM,13.68,NYSE,USA
VSH,27.90,NYSE,USA
ESAB,65.31,NYSE,USA
ACAD,24.09,NASDAQ,USA
ARWR,35.53,NASDAQ,USA
GBCI,32.22,NYSE,USA
PENN,24.27,NASDAQ,USA
FSS,63.00,NYSE,USA
CABO,638.75,NYSE,USA
HHC,74.95,NYSE,USA
GTES,13.15,NYSE,USA
YOU,23.54,NYSE,USA
FOLD,12.73,NASDAQ,USA
SMPL,36.64,NASDAQ,USA
EPRT,23.83,NYSE,USA
KRC,30.04,NYSE,USA
DISH,6.35,NASDAQ,USA
CRCT,16.69,NASDAQ,USA
NWE,58.61,NASDAQ,USA
LFST,9.09,NASDAQ,USA
FOCS,52.50,NASDAQ,USA
TWNK,25.84,NASDAQ,USA
SFM,33.19,NASDAQ,USA
KWR,192.25,NYSE,USA
PAGP,14.11,NASDAQ,USA
CRVL,196.58,NASDAQ,USA
NARI,59.13,NASDAQ,USA
BCO,71.25,NYSE,USA
VIR,24.92,NASDAQ,USA
SYNA,82.09,NASDAQ,USA
COOP,49.05,NASDAQ,USA
GPS,9.16,NYSE,USA
ITRI,71.33,NASDAQ,USA
AWR,87.53,NYSE,USA
KRYS,120.00,NASDAQ,USA
VNO,15.49,NYSE,USA
AYX,43.76,NYSE,USA
CVLT,71.01,NASDAQ,USA
HL,5.05,NYSE,USA
SPR,29.68,NYSE,USA
TNL,40.22,NYSE,USA
SXT,72.40,NYSE,USA
LGIH,130.41,NASDAQ,USA
BTU,21.46,NYSE,USA
SPB,9.46,TSE,CAD
AKRO,52.72,NASDAQ,USA
KMPR,47.42,NYSE,USA
JJSF,156.54,NASDAQ,USA
AMED,90.79,NASDAQ,USA
CNS,59.09,NYSE,USA
FTAI,29.83,NASDAQ,USA
ROG,160.16,NYSE,USA
VRNS,25.60,NASDAQ,USA
VRRM,19.19,NASDAQ,USA
HASI,25.60,NYSE,USA
CERT,17.52,NASDAQ,USA
GMS,67.59,NYSE,USA
RKLB,5.90,NASDAQ,USA
MORF,61.05,NASDAQ,USA
PDCO,32.41,NASDAQ,USA
INSM,20.69,NASDAQ,USA
RRR,46.93,NASDAQ,USA
SBRA,11.73,NASDAQ,USA
GHC,572.41,NYSE,USA
FWRD,103.28,NASDAQ,USA
JBLU,8.14,NASDAQ,USA
KFY,50.43,NYSE,USA
WDFC,191.62,NASDAQ,USA
NABL,14.31,NYSE,USA
SITM,117.79,NASDAQ,USA
RUM,9.06,NASDAQ,USA
APAM,37.51,NYSE,USA
IMVT,20.12,NASDAQ,USA
BEAM,32.66,NASDAQ,USA
GRBK,56.44,NYSE,USA
PSEC,6.17,NASDAQ,USA
HIW,22.30,NYSE,USA
PI,92.28,NASDAQ,USA
TWKS,7.63,NASDAQ,USA
MAC,10.93,NYSE,USA
ACIW,21.97,NASDAQ,USA
RVNC,28.37,NASDAQ,USA
PTEN,11.81,NASDAQ,USA
ABCB,34.09,NASDAQ,USA
AVAV,97.19,NASDAQ,USA
JAMF,18.86,NASDAQ,USA
AMR,168.52,NYSE,USA
DNUT,14.26,NASDAQ,USA
CVCO,279.35,NASDAQ,USA
WOOF,8.64,NASDAQ,USA
LBRT,13.31,NYSE,USA
CORT,22.46,NASDAQ,USA
ENVX,14.42,NASDAQ,USA
ATRC,48.78,NASDAQ,USA
MGRC,92.71,NASDAQ,USA
DFH,25.75,NYSE,USA
EQC,20.75,NYSE,USA
XRX,14.51,NASDAQ,USA
SIX,27.88,NYSE,USA
CALM,45.04,NASDAQ,USA
DOOR,100.71,NYSE,USA
SKT,21.29,NYSE,USA
EBC,12.31,NASDAQ,USA
GDRX,5.57,NASDAQ,USA
DICE,46.59,NASDAQ,USA
NEO,17.01,NASDAQ,USA
MRCY,38.10,NASDAQ,USA
XPEL,82.82,NASDAQ,USA
VCTR,31.72,NASDAQ,USA
INDB,47.58,NASDAQ,USA
NTCT,29.80,NASDAQ,USA
FUN,41.46,NYSE,USA
EVCM,11.24,NASDAQ,USA
SCL,93.55,NYSE,USA
NMIH,25.24,NASDAQ,USA
FULT,12.61,NASDAQ,USA
PRMW,17.30,TSE,CAD
CBRL,93.69,NASDAQ,USA
ARCB,87.47,NASDAQ,USA
HLIO,63.72,NYSE,USA
OSIS,122.61,NASDAQ,USA
PD,61.38,TSE,CAD
HLIT,39.59,TSE,CAD
CENT,38.45,NASDAQ,USA
CTRE,19.45,NYSE,USA
HCC,38.42,NYSE,USA
TROX,12.35,NYSE,USA
SLRN,20.05,NASDAQ,USA
SBCF,22.43,NASDAQ,USA
OSCR,8.69,NYSE,USA
MYGN,22.84,NASDAQ,USA
AIR,57.27,NYSE,USA
ESTE,13.61,NYSE,USA
THRM,57.39,NASDAQ,USA
PCRX,40.31,NASDAQ,USA
JACK,92.36,NASDAQ,USA
TOWN,24.30,NASDAQ,USA
BGCP,4.48,NASDAQ,USA
RCKT,21.79,NASDAQ,USA
ANF,36.90,NYSE,USA
AESI,17.53,NYSE,USA
KTOS,15.49,NASDAQ,USA
LILA,8.25,NASDAQ,USA
CLDX,36.95,NASDAQ,USA
AGYS,68.07,NASDAQ,USA
BKE,35.12,NYSE,USA
GTY,33.48,NYSE,USA
PHR,19.12,TSE,CAD
MRTN,21.02,NASDAQ,USA
SPCE,5.71,NYSE,USA
ROIC,13.28,NASDAQ,USA
LRN,38.37,NYSE,USA
SWI,10.02,NYSE,USA
PGTI,28.90,NYSE,USA
SXI,2.00,TSE,CAD
HEES,44.95,NASDAQ,USA
ENVA,52.71,NYSE,USA
EAT,36.09,NYSE,USA
MOD,31.70,NYSE,USA
CSGS,52.32,NASDAQ,USA
HURN,83.81,NASDAQ,USA
ARI,11.31,NYSE,USA
TMCI,25.56,NASDAQ,USA
PRCT,35.13,NASDAQ,USA
BRP,24.13,NASDAQ,USA
IBTX,36.59,NASDAQ,USA
WSBC,25.62,NASDAQ,USA
ZUO,11.16,NYSE,USA
NWN,42.24,NYSE,USA
VRTS,204.55,NASDAQ,USA
LMAT,67.58,NASDAQ,USA
RADI,14.87,NASDAQ,USA
UFPT,192.91,NASDAQ,USA
RLAY,12.07,NASDAQ,USA
ALKT,15.84,NASDAQ,USA
ADUS,91.37,NASDAQ,USA
PLMR,56.70,NASDAQ,USA
ETNB,19.02,NASDAQ,USA
NMRK,6.12,NASDAQ,USA
SVC,8.60,NASDAQ,USA
SATS,17.00,NASDAQ,USA
VVX,46.32,NYSE,USA
