"Rank","Name","Symbol","marketcap","price (USD)","country"
"106","Capital Power","CPX.TO","3972423668","33.97","Canada"
"107","Kinaxis","KXS.TO","3860975996","136.54","Canada"
"108","Nuvei","NVEI","3853684992","27.71","Canada"
"109","Granite Real Estate","GRP-UN","3634352640","57.015","Canada"
"110","Crescent Point Energy","CPG","3564295936","6.53","Canada"
"111","ATCO","ACO-X.TO","3471893584","30.44","Canada"
"112","Premium Brands","PBH.TO","3385119407","75.85","Canada"
"113","Lithium Americas","LAC","3375880448","20.79","Canada"
"114","Summit Industrial Income REIT","SMU-UN.TO","3331336603","17.54","Canada"
"115","Linamar","LNR.TO","3278741361","53.29","Canada"
"116","Paramount Resources","POU.TO","3188423522","22.28","Canada"
"117","SmartCentres REIT","SRU-UN.TO","3177991517","18.66","Canada"
"118","Capstone Copper","CS.TO","3167760430","4.56","Canada"
"119","Capstone Infrastructure","CSE-PA.TO","3050008955","10.01","Canada"
"120","Enerplus","ERF","3029645312","14.16","Canada"
"121","Aritzia","ATZ.TO","2992056042","27.08","Canada"
"122","Stella-Jones","SJ.TO","2916621001","49.98","Canada"
"123","BlackBerry","BB","2872712448","4.95","Canada"
"124","SSR Mining","SSRM","2865494016","14.04","Canada"
"125","Boralex","BLX.TO","2848172921","27.72","Canada"
"126","Dream Industrial REIT","DIR-UN.TO","2797124819","10.13","Canada"
"127","Methanex","MEOH","2789709056","40.97","Canada"
"128","Osisko Gold Royalties","OR","2757929472","14.93","Canada"
"129","Lundin Gold","LUG.TO","2737417126","11.54","Canada"
"130","Spin Master","TOY.TO","2733573929","26.36","Canada"
"131","Bausch Health","BHC","2691557632","7.4","Canada"
"132","Triple Flag Precious Metals","TFPM","2683866880","13.24","Canada"
"133","Xenon Pharmaceuticals","XENE","2612410368","41.1","Canada"
"134","CT REIT","CRT-UN.TO","2580765198","10.97","Canada"
"135","TransAlta","TAC","2546401024","9.67","Canada"
"136","Canadian Solar","CSIQ","2504676608","38.74","Canada"
"137","Filo Mining","FIL.TO","2462101748","18.92","Canada"
"138","E-L Financial","ELF.TO","2428286615","682.66","Canada"
"139","Lightspeed POS","LSPD","2408700928","15.87","Canada"
"140","Maple Leaf Foods","MFI.TO","2404789756","19.72","Canada"
"141","First Capital REIT","FCR-UN.TO","2399519600","11.29","Canada"
"142","Tricon Residential","TCN","2364829184","8.67","Canada"
"143","NexGen Energy","NXE","2336379136","4.74","Canada"
"144","Boardwalk Real Estate Investment Trust","BEI-UN.TO","2299292878","45.8","Canada"
"145","Cogeco","CCA.TO","2261865884","50.9","Canada"
"146","Gibson Energy","GEI.TO","2256408761","15.83","Canada"
"147","Topaz Energy","TPZ.TO","2233812252","15.47","Canada"
"148","H&amp;R REIT","HR-UN.TO","2209495836","7.78","Canada"
"149","Parex Resources","PXT.TO","2183467070","20.43","Canada"
"150","AbCellera","ABCL","2168347392","7.51","Canada"
"151","Allied Properties REIT","AP-UN.TO","2119849143","16.57","Canada"
"152","Winpak","WPK.TO","2091727892","32.18","Canada"
"153","Innergex Renewable Energy","INE.TO","2049424246","10.04","Canada"
"154","Vermilion Energy","VET","2018744064","12.22","Canada"
"155","EQB (Equitable Bank)","EQB.TO","1974854098","52.41","Canada"
"156","Canfor","CFP.TO","1955013469","16.2","Canada"
"157","Eldorado Gold","EGO","1919681024","9.83","Canada"
"158","Crombie Real Estate Investment Trust","CRR-UN.TO","1912170426","10.67","Canada"
"159","Ero Copper","ERO","1883216768","20.27","Canada"
"160","BELLUS Health","BLU","1866672640","14.72","Canada"
"161","Fairfax India Holdings","FIH-U.TO","1863272320","13.52","Canada"
"162","Exchange Income Corporation","EIF.TO","1842463562","39.77","Canada"
"163","Superior Plus","SPB.TO","1813317381","7.27","Canada"
"164","Canadian Western Bank","CWB.TO","1802536823","18.72","Canada"
"165","Celestica","CLS","1795503872","14.78","Canada"
"166","Stelco","STLC.TO","1772823153","32.16","Canada"
"167","Baytex Energy","BTE.TO","1758916267","3.22","Canada"
"168","NuVista Energy","NVA.TO","1758768243","8.12","Canada"
"169","Canada Goose","GOOS","1745203072","16.79","Canada"
"170","Russel Metals","RUS.TO","1744855158","27.95","Canada"
"171","First National Financial","FN.TO","1731443494","28.87","Canada"
"172","Richelieu Hardware","RCH.TO","1724307540","30.89","Canada"
"173","StorageVault Canada","SVI.TO","1673273582","4.43","Canada"
"174","Chartwell Retirement Residences","CSH-UN.TO","1645992426","6.86","Canada"
"175","NovaGold Resources","NG","1619817600","4.85","Canada"
"176","Altus Group","AIF.TO","1605829895","35.44","Canada"
"177","China Gold International Resources","CGG.TO","1557094377","3.93","Canada"
"178","Uni-Select","UNS.TO","1556866528","35.49","Canada"
"179","Labrador Iron Ore Royalty Corp.","LIF.TO","1555801008","24.31","Canada"
"180","Killam Apartment REIT","KMP-UN.TO","1548711069","13.21","Canada"
"181","Freehold Royalties","FRU.TO","1522352641","10.1","Canada"
"182","Birchcliff Energy","BIR.TO","1516035856","5.7","Canada"
"183","Sandstorm Gold","SAND","1511877504","5.06","Canada"
"184","First Majestic Silver","AG","1485001728","5.41","Canada"
"185","Westshore Terminals Investment","WTE.TO","1457714239","23.32","Canada"
